x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
-0.325504,-0.065978,0,0,29.593,9.04219,57.2329,20.5517,85.0329,31.9615,
-0.327005,-0.068977,0,0,29.5357,9.22583,57.1795,20.7262,84.9762,32.1436,
-0.328305,-0.0709762,0,0,29.4983,9.34465,57.1446,20.8388,84.9392,32.2615,
-0.329706,-0.0739751,0,0,29.4433,9.5177,57.0934,21.0026,84.8848,32.4331,
-0.331006,-0.0759744,0,0,29.4075,9.62951,57.0602,21.1082,84.8494,32.5439,
-0.332606,-0.0789733,0,0,29.3546,9.79197,57.0113,21.2613,84.7972,32.7049,
-0.333707,-0.0809725,0,0,29.3203,9.89668,56.9795,21.3597,84.7632,32.8086,
-0.335307,-0.0839714,0,0,29.2697,10.0486,56.9329,21.5021,84.7134,32.959,
-0.336508,-0.0859706,0,0,29.2369,10.1463,56.9026,21.5934,84.6809,33.0557,
-0.338008,-0.0879698,0,0,29.2045,10.2414,56.8729,21.6822,84.6489,33.1498,
-0.339609,-0.0919683,0,0,29.1573,10.3781,56.8297,21.8092,84.6024,33.285,
-0.340909,-0.0939675,0,0,29.1268,10.4645,56.8019,21.8891,84.5723,33.3703,
-0.34241,-0.0969664,0,0,29.0821,10.5889,56.7613,22.0037,84.5283,33.4931,
-0.34371,-0.0989656,0,0,29.0531,10.6682,56.735,22.0765,84.4997,33.5714,
-0.34531,-0.100965,0,0,29.0247,10.7451,56.7092,22.1469,84.4717,33.6473,
-0.346811,-0.104963,0,0,28.9833,10.8544,56.672,22.2462,84.431,33.755,
-0.348312,-0.106962,0,0,28.9567,10.9225,56.6481,22.3077,84.4048,33.8221,
-0.349812,-0.109961,0,0,28.9178,11.0196,56.6134,22.3947,84.3666,33.9176,
-0.351213,-0.11196,0,0,28.8927,11.0809,56.591,22.4493,84.3419,33.9778,
-0.352813,-0.11396,0,0,28.868,11.1397,56.5692,22.5013,84.3177,34.0355,
-0.354414,-0.116958,0,0,28.8322,11.2228,56.5376,22.5743,84.2826,34.1171,
-0.355814,-0.118957,0,0,28.8089,11.2748,56.5172,22.6194,84.2598,34.1679,
-0.357415,-0.121956,0,0,28.7752,11.3477,56.4877,22.682,84.2267,34.2393,
-0.358915,-0.123955,0,0,28.7535,11.3929,56.4688,22.7203,84.2054,34.2834,
-0.360616,-0.125954,0,0,27.8848,11.08,55.5996,22.4088,83.3367,33.9706,
-0.362217,-0.128953,0,0,27.8591,11.1414,55.5783,22.4597,82.4865,33.6217,
-0.363817,-0.130952,0,0,27.7896,11.1543,55.5653,22.4904,82.5081,33.5469,
-0.365018,-0.132951,0,0,27.7718,11.1966,55.5476,22.5326,82.5423,33.4299,
-0.367018,-0.134951,0,0,27.7608,11.2227,55.5821,22.5807,82.5661,33.3492,
-0.369019,-0.13695,0,0,27.7457,11.2585,55.5632,22.6256,82.6037,33.2238,
-0.370019,-0.138949,0,0,27.7366,11.2802,55.5516,22.6534,82.6299,33.1374,
-0.37302,-0.140948,0,0,27.7283,11.2999,55.5407,22.6793,82.6571,33.0483,
-0.37402,-0.142947,0,0,27.7171,11.3264,55.5257,22.715,82.6995,32.9108,
-0.375021,-0.143946,0,0,27.7103,11.3422,55.5164,22.7371,82.7286,32.8167,
-0.378021,-0.145945,0,0,27.7042,11.3569,55.5076,22.758,82.7586,32.7208,
-0.380021,-0.146945,0,0,27.6957,11.377,55.4952,22.7876,82.8045,32.5742,
-0.381022,-0.147944,0,0,27.6902,11.3899,55.4872,22.8068,82.8355,32.4754,
-0.382022,-0.148944,0,0,27.6851,11.4021,55.4794,22.8254,82.867,32.3754,
-0.384023,-0.150943,0,0,27.6783,11.418,55.4687,22.8509,82.9155,32.2221,
-0.387023,-0.151942,0,0,27.6741,11.4279,55.4618,22.8672,82.9484,32.1184,
-0.388023,-0.152941,0,0,27.6702,11.4371,55.4552,22.8829,82.9816,32.0136,
-0.389024,-0.15494,0,0,27.665,11.4492,55.446,22.9048,83.0326,31.8539,
-0.391024,-0.156939,0,0,27.6627,11.4548,55.441,22.9169,83.0679,31.7443,
-0.393025,-0.158938,0,0,27.6602,11.4605,55.4344,22.9325,83.1221,31.5761,
-0.395025,-0.159938,0,0,27.6592,11.4627,55.4307,22.9412,83.1592,31.4617,
-0.397025,-0.160937,0,0,27.6584,11.4645,55.4272,22.9497,83.1966,31.3465,
-0.399026,-0.161937,0,0,27.6575,11.4668,55.4221,22.962,83.2533,31.1722,
-0.400026,-0.161936,0,0,27.6566,11.4685,55.4185,22.9705,83.291,31.0558,
