time_step,RV_id,RV_s,RV_d,RV_speed,HV_s,HV_d,HV_speed,ref_vel,RV_in_HV_lane,RV_in_L0_zone,RV_in_L1_zone,RV_in_L2_zone,lane,state
13,3,300.495,10.0245,19.5517,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,4,6711.57,-288.19,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,5,6661.77,-291.78,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,6,6711.78,-268.096,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,7,6709.3,-270.704,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,8,6663.54,-273.183,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,9,6660.44,-275.551,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,10,6657.74,-277.616,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
13,11,6653.45,-280.895,0,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
14,0,65.8613,6.10145,21.5237,125.428,6.16542,0.218451,2.912,0,0,0,0,1,1
14,1,303.362,6.034,16.837,125.428,6.16542,0.218451,2.912,0,0,0,0,1,1
14,2,92.0824,9.9894,24.4498,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,3,301.187,10.0283,19.4602,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,4,297.246,2.00384,21.938,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,5,53.0703,2.0093,22.8728,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,6,85.4512,5.99879,26.0218,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,7,6709.3,-270.704,0,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,8,6663.54,-273.183,0,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,9,6660.44,-275.551,0,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,10,6657.74,-277.616,0,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
14,11,6653.45,-280.895,0,125.428,6.16542,0.218451,2.912,0,0,0,1,1,1
15,0,66.5609,6.10319,20.9382,125.512,6.16547,0.238931,3.136,0,0,0,0,1,1
15,1,304.306,6.03453,16.77,125.512,6.16547,0.238931,3.136,0,0,0,0,1,1
15,2,93.4411,9.9881,24.3393,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,3,302.27,10.0315,19.3735,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,4,298.126,2.00971,21.4914,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,5,54.0026,2.02293,22.4226,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,6,86.5348,5.99681,25.5569,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,7,6709.3,-270.704,0,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,8,6663.54,-273.183,0,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,9,6660.44,-275.551,0,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,10,6657.74,-277.616,0,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
15,11,6653.45,-280.895,0,125.512,6.16547,0.238931,3.136,0,0,0,1,1,1
16,0,67.1915,6.10398,20.3319,125.602,6.16552,0.211624,3.36,0,0,0,0,1,1
16,1,305.252,6.0347,16.7079,125.602,6.16552,0.211624,3.36,0,0,0,0,1,1
16,2,94.7992,9.98696,24.2351,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,3,303.352,10.0342,19.2918,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,4,298.955,2.01531,21.0237,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,5,54.8647,2.03585,21.9317,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,6,87.4691,5.99513,24.9883,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,7,6709.3,-270.704,0,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,8,6663.54,-273.183,0,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,9,6660.44,-275.551,0,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,10,6657.74,-277.616,0,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
16,11,6653.45,-280.895,0,125.602,6.16552,0.211624,3.36,0,0,0,1,1,1
17,0,67.8032,6.10332,19.7278,125.698,6.16558,0.218451,3.584,0,0,0,0,1,1
17,1,306.198,6.03461,16.6506,125.698,6.16558,0.218451,3.584,0,0,0,0,1,1
17,2,96.1574,9.98607,24.1373,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,3,304.435,10.0363,19.2152,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,4,299.977,2.02043,20.7821,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,5,55.9164,2.04792,21.665,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,6,88.6064,5.99335,24.6449,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,7,6709.3,-270.704,0,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,8,6663.54,-273.183,0,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,9,6660.44,-275.551,0,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,10,6657.74,-277.616,0,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
17,11,6653.45,-280.895,0,125.698,6.16558,0.218451,3.584,0,0,0,1,1,1
18,0,68.3801,6.10172,19.1333,125.799,6.16563,0.238931,3.808,0,0,0,0,1,1
18,1,307.146,6.03416,16.5983,125.799,6.16563,0.238931,3.808,0,0,0,0,1,1
18,2,97.5163,9.9852,24.0462,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,3,305.518,10.0377,19.144,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,4,301.134,2.02519,20.6911,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,5,57.1224,2.05915,21.5693,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,6,89.9432,5.99178,24.5372,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,7,6709.3,-270.704,0,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,8,6663.54,-273.183,0,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,9,6660.44,-275.551,0,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,10,6657.74,-277.616,0,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
18,11,6653.45,-280.895,0,125.799,6.16563,0.238931,3.808,0,0,0,1,1,1
19,0,68.9358,6.0994,18.5495,125.907,6.16568,0.211624,4.032,0,0,0,0,1,1
19,1,308.095,6.03329,16.5509,125.907,6.16568,0.211624,4.032,0,0,0,0,1,1
19,2,98.8764,9.98472,23.9619,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,3,306.602,10.0386,19.0782,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,4,302.291,2.02948,20.6048,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,5,58.3274,2.06965,21.4784,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,6,91.2829,5.99021,24.4354,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,7,6709.3,-270.704,0,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,8,6663.54,-273.183,0,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,9,6660.44,-275.551,0,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,10,6657.74,-277.616,0,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
19,11,6653.45,-280.895,0,125.907,6.16568,0.211624,4.032,0,0,0,1,1,1
20,0,69.4723,6.096,17.9754,126.021,6.16578,0.675832,4.256,0,0,0,0,1,1
20,1,309.047,6.03207,16.5085,126.021,6.16578,0.675832,4.256,0,0,0,0,1,1
20,2,100.238,9.98438,23.8844,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,3,307.688,10.039,19.018,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,4,303.448,2.0334,20.5234,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,5,59.5321,2.07906,21.3927,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,6,92.6293,5.98888,24.3396,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,7,6709.3,-270.704,0,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,8,6663.54,-273.183,0,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,9,6660.44,-275.551,0,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,10,6657.74,-277.616,0,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
20,11,6653.45,-280.895,0,126.021,6.16578,0.675832,4.256,0,0,0,1,1,1
21,0,69.9832,6.0919,17.4096,126.141,6.16599,0.894283,4.48,0,0,0,0,1,1
21,1,309.998,6.03056,16.4685,126.141,6.16599,0.894283,4.48,0,0,0,0,1,1
21,2,101.599,9.98429,23.8113,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,3,308.773,10.0389,18.9609,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,4,304.603,2.03681,20.4456,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,5,60.7353,2.08737,21.3107,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,6,93.9738,5.9877,24.2483,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,7,6709.3,-270.704,0,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,8,6663.54,-273.183,0,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,9,6660.44,-275.551,0,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,10,6657.74,-277.616,0,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
21,11,6653.45,-280.895,0,126.141,6.16599,0.894283,4.48,0,0,0,1,1,1
22,0,70.4675,6.08744,16.8511,126.267,6.16625,1.11956,4.704,0,0,0,0,1,1
22,1,310.948,6.02851,16.4299,126.267,6.16625,1.11956,4.704,0,0,0,0,1,1
22,2,102.959,9.98434,23.7406,126.267,6.16625,1.11956,4.704,0,0,0,1,1,1
22,3,309.857,10.0382,18.9058,126.267,6.16625,1.11956,4.704,0,0,0,1,1,1
22,4,305.756,2.03966,20.3704,126.267,6.16625,1.11956,4.704,0,0,0,1,1,1
22,5,61.9362,2.09434,21.2314,126.267,6.16625,1.11956,4.704,0,0,0,1,1,1
22,6,95.3147,5.98666,24.1601,126.267,6.16625,1.11956,4.704,0,0,0,1,1,1
22,7,83.0539,1.99935,23.9634,126.267,6.16625,1.11956,4.704,0,1,0,1,1,1
22,8,292.698,6.0015,17.6784,126.267,6.16625,1.11956,4.704,0,1,0,1,1,1
22,9,263.748,9.99779,20.5995,126.267,6.16625,1.11956,4.704,0,1,0,1,1,1
22,10,6657.74,-277.616,0,126.267,6.16625,1.11956,4.704,0,1,0,1,1,1
22,11,6653.45,-280.895,0,126.267,6.16625,1.11956,4.704,0,1,0,1,1,1
23,0,70.9574,6.08275,16.2991,126.399,6.16656,1.33801,4.928,0,0,0,0,1,1
23,1,311.897,6.02673,16.3919,126.399,6.16656,1.33801,4.928,0,0,0,0,1,1
23,2,104.317,9.98465,23.6725,126.399,6.16656,1.33801,4.928,0,0,0,1,1,1
23,3,310.939,10.0368,18.8525,126.399,6.16656,1.33801,4.928,0,0,0,1,1,1
23,4,306.907,2.04182,20.2977,126.399,6.16656,1.33801,4.928,0,0,0,1,1,1
23,5,63.135,2.10009,21.1548,126.399,6.16656,1.33801,4.928,0,0,0,1,1,1
23,6,96.6998,5.98584,24.075,126.399,6.16656,1.33801,4.928,0,0,0,1,1,1
23,7,84.1647,1.99745,23.6279,126.399,6.16656,1.33801,4.928,0,1,0,1,1,1
23,8,293.474,6.00621,17.3857,126.399,6.16656,1.33801,4.928,0,1,0,1,1,1
23,9,264.679,9.99197,20.287,126.399,6.16656,1.33801,4.928,0,1,0,1,1,1
23,10,6657.74,-277.616,0,126.399,6.16656,1.33801,4.928,0,1,0,1,1,1
23,11,6653.45,-280.895,0,126.399,6.16656,1.33801,4.928,0,1,0,1,1,1
24,0,71.3923,6.07809,15.7534,126.537,6.16692,1.56329,5.152,0,0,0,0,1,1
24,1,312.843,6.02899,16.354,126.537,6.16692,1.56329,5.152,0,0,0,0,1,1
24,2,105.672,9.98522,23.6066,126.537,6.16692,1.56329,5.152,0,0,0,1,1,1
24,3,312.02,10.0349,18.8011,126.537,6.16692,1.56329,5.152,0,0,0,1,1,1
24,4,308.056,2.04345,20.2274,126.537,6.16692,1.56329,5.152,0,0,0,1,1,1
24,5,64.3318,2.10475,21.0807,126.537,6.16692,1.56329,5.152,0,0,0,1,1,1
24,6,98.0413,5.98506,23.9928,126.537,6.16692,1.56329,5.152,0,0,0,1,1,1
24,7,85.0317,1.99566,23.0669,126.537,6.16692,1.56329,5.152,0,1,0,1,1,1
